강의실,요일,시간,합계
음악관,화,11,0.0
음악관,화,12,0.0
음악관,화,13,0.0
음악관,화,14,0.0
음악관,화,15,0.0
음악관,수,1,8.0
음악관,수,2,15.0
음악관,수,3,15.0
음악관,수,4,0.0
음악관,수,5,20.0
음악관,수,6,18.0
음악관,수,7,24.0
음악관,수,8,20.0
음악관,수,9,0.0
음악관,수,10,0.0
음악관,수,11,0.0
음악관,수,12,0.0
음악관,수,13,0.0
음악관,수,14,0.0
음악관,수,15,0.0
음악관,목,1,25.0
음악관,목,2,32.0
음악관,목,3,20.0
음악관,목,4,27.0
음악관,목,5,17.0
음악관,목,6,17.0
음악관,목,7,26.0
음악관,목,8,26.0
음악관,목,9,18.0
음악관,목,10,18.0
음악관,목,11,0.0
음악관,목,12,0.0
음악관,목,13,0.0
음악관,목,14,0.0
음악관,목,15,0.0
음악관,금,1,0.0
음악관,금,2,3.0
음악관,금,3,3.0
음악관,금,4,0.0
음악관,금,5,8.0
음악관,금,6,8.0
음악관,금,7,0.0
음악관,금,8,0.0
음악관,금,9,0.0
음악관,금,10,10.0
음악관,금,11,10.0
음악관,금,12,0.0
음악관,금,13,0.0
음악관,금,14,0.0
음악관,금,15,0.0
음악관,토,1,0.0
음악관,토,2,0.0
음악관,토,3,0.0
음악관,토,4,0.0
음악관,토,5,0.0
음악관,토,6,0.0
음악관,토,7,0.0
음악관,토,8,0.0
음악관,토,9,0.0
음악관,토,10,0.0
음악관,토,11,0.0
음악관,토,12,0.0
음악관,토,13,0.0
음악관,토,14,0.0
음악관,토,15,0.0
음악관,일,1,0.0
음악관,일,2,0.0
음악관,일,3,0.0
음악관,일,4,14.0
음악관,일,5,14.0
음악관,일,6,22.0
음악관,일,7,0.0
음악관,일,8,0.0
음악관,일,9,22.0
음악관,일,10,17.0
음악관,일,11,17.0
음악관,일,12,0.0
음악관,일,13,0.0
음악관,일,14,1.0
음악관,일,15,1.0
제1실습관,월,1,112.0
제1실습관,월,2,129.0
제1실습관,월,3,86.0
제1실습관,월,4,46.0
제1실습관,월,5,260.0
제1실습관,월,6,184.0
제1실습관,월,7,107.0
제1실습관,월,8,128.0
제1실습관,월,9,48.0
제1실습관,월,10,85.0
제1실습관,월,11,0.0
제1실습관,월,12,0.0
제1실습관,월,13,49.0
제1실습관,월,14,0.0
제1실습관,월,15,0.0
제1실습관,화,1,216.0
제1실습관,화,2,55.0
제1실습관,화,3,205.0
제1실습관,화,4,199.0
제1실습관,화,5,207.0
제1실습관,화,6,135.0
제1실습관,화,7,182.0
제1실습관,화,8,153.0
제1실습관,화,9,62.0
제1실습관,화,10,132.0
제1실습관,화,11,0.0
제1실습관,화,12,97.0
제1실습관,화,13,35.0
제1실습관,화,14,0.0
